Site,Douglas_fir,MNPV,total,id,df_round,n_trees
BAL,0,1,1,105,0,1
Benedict Meadows,0,0,12,34,0,1
Crystal Springs Campground,0,0,3,27,0,1
Grand Grove Stables,0,0,6,28,0,1
hughes12,0,0,1,46,0,1
hughes13,0,0,1,47,0,1
hughes15,0.012692656,0,1,49,0,1
hughes16,0,0,1,50,0,1
hughes21,0,1,2,55,0,1
hughes24,0,1,2,58,0,1
hughes39,0,1,2,73,0,1
hughes41,0,0,1,74,0,1
hughes50,0,0,1,83,0,1
hughes51,0,0,1,84,0,1
hughes52,0,0,1,85,0,1
hughes53,0,0,1,86,0,1
hughes54,0,0,1,87,0,1
hughes55,0,0,1,88,0,1
hughes56,0,0,1,89,0,1
hughes57,0,0,1,90,0,1
hughes58,0,0,1,91,0,1
hughes59,0,0,1,92,0,1
Hull Creek campground,0,0,1,33,0,1
NMX,0,1,1,104,0,1
Pincrest exp for,0,0,1,32,0,1
Quail flat,0,0,2,31,0,1
Sunset campground,0,0,3,30,0,1
Swale campground,0,0,2,29,0,1
hughes14,0.014457831,0,1,48,0.027027027,1
hughes29,0.034428795,1,2,63,0.027027027,1
PIN3,0.014778325,58,91,122,0.027027027,1
Fish Creek,0.054313099,1,2,26,0.054054054,2
hughes20,0.051282051,1,2,54,0.054054054,2
hughes32,0.051401869,1,2,66,0.054054054,2
hughes49,0.060759494,0,1,82,0.054054054,2
Zone 2,0.052631579,2,2,22,0.054054054,2
hughes25,0.084897959,1,2,59,0.081081081,3
McKrosky,0.090692124,0,3,16,0.081081081,3
hughes17,0.11875,0,1,51,0.108108108,4
hughes2,0.114951768,0,1,36,0.108108108,4
hughes35,0.103419516,1,1,69,0.108108108,4
hughes38,0.108606557,1,2,72,0.108108108,4
hughes66,0.097297297,0,1,128,0.108108108,4
New Mexico,0.119678715,0,8,35,0.108108108,4
DRY,0.138041734,1,1,107,0.135135135,5
hughes30,0.130033557,1,2,64,0.135135135,5
Zone 4,0.144694534,2,7,17,0.135135135,5
hughes18,0.162583519,1,2,52,0.162162162,6
hughes19,0.150807899,1,1,53,0.162162162,6
hughes22,0.165820643,1,2,56,0.162162162,6
hughes42,0.157370518,0,1,75,0.162162162,6
Wheelbarrow Trail,0.156722355,0,1,19,0.162162162,6
hughes23,0.195604396,1,2,57,0.189189189,7
hughes31,0.199335548,1,2,65,0.189189189,7
hughes36,0.191780822,0,1,70,0.189189189,7
hughes46,0.1875,0,1,79,0.189189189,7
hughes47,0.1875,0,1,80,0.189189189,7
hughes27,0.218380346,0,1,61,0.216216216,8
hughes37,0.220665499,1,2,71,0.216216216,8
Crane Point,0.241830065,0,2,18,0.243243243,9
hughes10,0.231404959,0,1,44,0.243243243,9
hughes45,0.251968504,0,1,78,0.243243243,9
hughes48,0.248768473,0,1,81,0.243243243,9
LOV,0.248407643,0,1,101,0.243243243,9
W11,0.275261324,0,8,12,0.27027027,10
W2,0.277192982,0,17,13,0.27027027,10
W3,0.259493671,0,10,11,0.27027027,10
hughes11,0.307692308,0,1,45,0.297297297,11
Tekoa Moutain,0.287878788,1,13,9,0.297297297,11
BAN,0.317114094,1,1,106,0.324324324,12
hughes34,0.318318318,1,2,68,0.324324324,12
MTJM,0.326984127,5,82,120,0.324324324,12
Pine Rd Creek,0.333892617,4,5,25,0.324324324,12
W10,0.3125,0,7,10,0.324324324,12
CRKJ,0.342178771,81,122,114,0.351351351,13
hughes28,0.364261168,1,2,62,0.351351351,13
Hotelling,0.371638142,0,1,20,0.378378378,14
TAM,0.416666667,1,1,108,0.405405405,15
hughes26,0.445196211,1,2,60,0.432432432,16
TAMA,0.421686747,29,78,126,0.432432432,16
Gold Hill,0.447659574,6,14,21,0.459459459,17
hughes7,0.449152542,1,1,41,0.459459459,17
hughes44,0.484444444,0,1,77,0.486486486,18
Zone 5,0.489379085,0,1,14,0.486486486,18
hughes43,0.513043478,0,1,76,0.513513514,19
hughes9,0.503913894,1,1,43,0.513513514,19
hughes8,0.527190332,1,1,42,0.540540541,20
Moscow Mountain,0.532281205,1,1,24,0.540540541,20
PAJ3,0.542629482,24,34,121,0.540540541,20
SHCA,0.530874098,34,78,124,0.540540541,20
SHDO,0.537848606,15,49,125,0.540540541,20
COL,0.563227953,0,1,99,0.567567568,21
hughes33,0.59613319,1,2,67,0.594594595,22
BARM,0.609397944,11,157,110,0.621621622,23
hughes5,0.6375,1,1,39,0.648648649,24
hughes65,0.65625,1,2,98,0.648648649,24
Skyline Drive,0.646713615,1,2,15,0.648648649,24
Zone 1,0.710674157,1,9,23,0.702702703,26
BLUE43,0.792031873,62,89,111,0.783783784,29
FR12,0.792547835,109,170,116,0.783783784,29
KLP,0.773524721,1,1,109,0.783783784,29
FR01,0.79757085,81,149,115,0.810810811,30
hughes61,0.833333333,1,2,94,0.837837838,31
hughes62,0.833333333,1,2,95,0.837837838,31
JMUP33,0.837320574,36,40,117,0.837837838,31
MCWB26,0.841181165,44,58,119,0.837837838,31
hughes4,0.860778443,1,1,38,0.864864865,32
WFWB52,0.866932271,6,6,127,0.864864865,32
Early Winters,0.904684976,15,18,7,0.891891892,33
hughes63,0.884045336,1,2,96,0.891891892,33
LST,0.88585209,0,1,102,0.891891892,33
RUBY,0.893685052,10,142,123,0.891891892,33
TMEW,0.90210356,0,1,100,0.891891892,33
Yellow Jacket,0.90224359,0,4,8,0.891891892,33
CHSW,0.925333333,6,6,112,0.918918919,34
CUB,0.923383879,0,1,103,0.918918919,34
hughes60,0.927160494,1,2,93,0.918918919,34
LIBR,0.917993631,33,51,118,0.918918919,34
hughes3,0.943791946,1,1,37,0.945945946,35
hughes6,0.955555556,1,1,40,0.945945946,35
hughes64,0.96485623,0,1,97,0.972972973,36
Ashcroft,1,28,28,4,1,36
CRA3,1,52,61,113,1,36
CTR,1,0,1,6,1,36
Hedley,1,23,23,3,1,36
hughes1,1,1,2,1,1,36
Kamloops,1,125,125,5,1,36
Vernon,1,9,9,2,1,36