site_no,latitude,longitude,elevation,state,site,SNPV,MNPV,total,source
1,48.59694444,-120.4469444,671.31,WA,Early Winters,3,15,18,"Williams et al., 2011"
2,48.66472222,-120.4975,784.25,WA,Yellow Jacket,4,0,4,"Williams et al., 2011"
3,47.27444444,-117.0833333,1149.14,WA,Tekoa Moutain,12,1,13,"Williams et al., 2011"
4,47.27083333,-117.085,1106.72,WA,W10,7,0,7,"Williams et al., 2011"
5,47.2925,-117.0633333,945.69,WA,W3,10,0,10,"Williams et al., 2011"
6,47.27833333,-117.0783333,1063.97,WA,W11,8,0,8,"Williams et al., 2011"
7,47.28277778,-117.0838889,989.19,WA,W2,17,0,17,"Williams et al., 2011"
8,47.11527778,-116.7227778,1042.44,ID,Zone 5,1,0,1,"Williams et al., 2011"
9,47.09833333,-116.8225,832.9,ID,Skyline Drive,1,1,2,"Williams et al., 2011"
10,47.055,-116.0852778,1719.75,ID,McKrosky,3,0,3,"Williams et al., 2011"
11,46.25805556,-116.7977778,1035.13,ID,Zone 4,5,2,7,"Williams et al., 2011"
12,47.04055556,-116.8225,1080.58,ID,Crane Point,2,0,2,"Williams et al., 2011"
13,47.015,-116.7830556,1080.43,ID,Wheelbarrow Trail,1,0,1,"Williams et al., 2011"
14,46.9825,-116.8016667,1102.03,ID,Hotelling,1,0,1,"Williams et al., 2011"
15,46.97055556,-116.7438889,949.68,ID,Gold Hill,8,6,14,"Williams et al., 2011"
16,46.89833333,-116.0727778,1338,ID,Zone 2,0,2,2,"Williams et al., 2011"
17,46.75138889,-116.6936111,866.05,ID,Zone 1,8,1,9,"Williams et al., 2011"
18,46.77444444,-116.8566667,926.76,ID,Moscow Mountain,0,1,1,"Williams et al., 2011"
19,45.83333333,-117.0938889,1588.22,OR,Pine Rd Creek,1,4,5,"Williams et al., 2011"
20,45.01861111,-117.0336111,1713.21,OR,Fish Creek,1,1,2,"Williams et al., 2011"
21,36.74555556,-118.9627778,2014.3,CA,Crystal Springs Campground,3,0,3,"Williams et al., 2011"
22,36.745,-118.9669444,2005.2,CA,Grand Grove Stables,6,0,6,"Williams et al., 2011"
23,36.74194444,-118.9752778,1907.73,CA,Swale campground,2,0,2,"Williams et al., 2011"
24,36.73805556,-118.9663889,1992.11,CA,Sunset campground,3,0,3,"Williams et al., 2011"
25,36.72277778,-118.9091667,2096.64,CA,Quail flat,2,0,2,"Williams et al., 2011"
26,38.18777778,-120.0022222,1707.11,CA,Pincrest exp for,1,0,1,"Williams et al., 2011"
27,38.09388889,-120.0411111,1701.52,CA,Hull Creek campground,1,0,1,"Williams et al., 2011"
28,37.24722222,-119.4305556,1718.5,CA,Benedict Meadows,12,0,12,"Williams et al., 2011"
29,35.19277778,-106.4025,2541.19,NM,New Mexico,8,0,8,"Williams et al., 2011"
30,50.58804871,-120.799127,1252,BC,hughes1,1,1,2,Hughes 1976
31,48.69720588,-119.9107783,2298.27,WA,hughes2,1,0,1,Hughes 1976
32,48.84609114,-119.7718187,1188.89,WA,hughes3,0,1,1,Hughes 1976
33,48.64757746,-119.6626362,950.23,WA,hughes4,0,1,1,Hughes 1976
34,48.45402662,-119.5584165,412.09,WA,hughes5,0,1,1,Hughes 1976
35,48.7815742,-119.5584165,486.57,WA,hughes6,0,1,1,Hughes 1976
36,48.63268893,-119.4244198,688.63,WA,hughes7,0,1,1,Hughes 1976
37,48.7815742,-119.2854602,1008.17,WA,hughes8,0,1,1,Hughes 1976
38,48.61283756,-119.1713148,1026.68,WA,hughes9,0,1,1,Hughes 1976
39,48.44410093,-117.910753,651.28,WA,hughes10,1,0,1,Hughes 1976
40,47.43664399,-119.3102744,427.02,WA,hughes11,1,0,1,Hughes 1976
41,47.68974894,-117.7668305,775.3,WA,hughes12,1,0,1,Hughes 1976
42,47.50612378,-117.7866819,711.87,WA,hughes13,1,0,1,Hughes 1976
43,47.57560357,-117.5732797,747.1,WA,hughes14,1,0,1,Hughes 1976
44,47.75426589,-117.5286141,493.87,WA,hughes15,1,0,1,Hughes 1976
45,47.38205273,-117.4938742,732.68,WA,hughes16,1,0,1,Hughes 1976
46,47.62026915,-117.3549146,695.03,WA,hughes17,1,0,1,Hughes 1976
47,46.00238263,-117.4194316,791.11,WA,hughes18,1,1,2,Hughes 1976
48,45.74927769,-117.0571441,1246.22,OR,hughes19,0,1,1,Hughes 1976
49,45.61528095,-117.1166982,1300.48,OR,hughes20,1,1,2,Hughes 1976
50,45.47135853,-117.186178,1353.58,OR,hughes21,1,1,2,Hughes 1976
51,45.3026219,-117.1216611,1455.17,OR,hughes22,1,1,2,Hughes 1976
52,45.36713885,-117.3400261,1833.48,OR,hughes23,1,1,2,Hughes 1976
53,45.54083832,-117.3201747,1244.13,OR,hughes24,1,1,2,Hughes 1976
54,45.69964927,-117.3102491,1408.91,OR,hughes25,1,1,2,Hughes 1976
55,45.66490937,-117.5137256,1054.31,OR,hughes26,1,1,2,Hughes 1976
56,45.44654432,-117.4889114,1523.89,OR,hughes27,1,0,1,Hughes 1976
57,45.52098695,-117.6824622,1041.49,OR,hughes28,1,1,2,Hughes 1976
58,45.65994653,-117.8511988,981.5,OR,hughes29,1,1,2,Hughes 1976
59,45.6797979,-118.1043038,1498.4,OR,hughes30,1,1,2,Hughes 1976
60,45.47135853,-118.1588951,1490.61,OR,hughes31,1,1,2,Hughes 1976
61,45.54083832,-117.9504557,1009.48,OR,hughes32,1,1,2,Hughes 1976
62,45.55572685,-118.3722973,1286.98,OR,hughes33,1,1,2,Hughes 1976
63,45.24306779,-118.3276317,1293.6,OR,hughes34,1,1,2,Hughes 1976
64,45.2083279,-118.129118,1457.59,OR,hughes35,0,1,1,Hughes 1976
65,45.09914537,-118.3127432,1495.61,OR,hughes36,1,0,1,Hughes 1976
66,45.25299348,-117.8611245,828.78,OR,hughes37,1,1,2,Hughes 1976
67,44.94033443,-117.533577,1187.87,OR,hughes38,1,1,2,Hughes 1976
68,44.76167211,-117.5236513,1034.7,OR,hughes39,1,1,2,Hughes 1976
69,44.7715978,-117.7717934,1135.33,OR,hughes40,1,1,2,Hughes 1976
70,44.61278685,-117.4541715,878.88,OR,hughes41,1,0,1,Hughes 1976
71,44.55323275,-117.2903977,1657.84,OR,hughes42,1,0,1,Hughes 1976
72,44.63760106,-117.1415124,1060.25,OR,hughes43,1,0,1,Hughes 1976
73,44.74678359,-117.3499518,1328.55,OR,hughes44,1,0,1,Hughes 1976
74,44.74678359,-117.1315867,645.23,OR,hughes45,1,0,1,Hughes 1976
75,46.61777505,-116.714708,750.39,ID,hughes46,1,0,1,Hughes 1976
76,46.46392695,-116.8139649,531.09,ID,hughes47,1,0,1,Hughes 1976
77,46.36963295,-116.6501911,541.51,ID,hughes48,1,0,1,Hughes 1976
78,46.50362968,-116.6005626,475.18,ID,hughes49,1,0,1,Hughes 1976
79,43.50111023,-119.6973761,1486.99,OR,hughes50,1,0,1,Hughes 1976
80,43.46637033,-119.2308689,1369.82,OR,hughes51,1,0,1,Hughes 1976
81,41.69959855,-120.5857248,1529.68,CA,hughes52,1,0,1,Hughes 1976
82,41.59537887,-120.7445358,1549.8,CA,hughes53,1,0,1,Hughes 1976
83,41.44649361,-120.8537183,1308.59,CA,hughes54,1,0,1,Hughes 1976
84,41.46138213,-120.6155019,1353.5,CA,hughes55,1,0,1,Hughes 1976
85,41.46138213,-120.1142548,1366.5,CA,hughes56,1,0,1,Hughes 1976
86,41.35716245,-120.29788,2015.66,CA,hughes57,1,0,1,Hughes 1976
87,41.17353729,-120.139069,2442.94,CA,hughes58,1,0,1,Hughes 1976
88,41.29760834,-120.0596636,1362.69,CA,hughes59,1,0,1,Hughes 1976
89,43.43659328,-115.4243691,1774.96,ID,hughes60,1,1,2,Hughes 1976
90,43.34726212,-115.0273417,1566.33,ID,hughes61,1,1,2,Hughes 1976
91,43.43163044,-114.6055001,1940.4,ID,hughes62,1,1,2,Hughes 1976
92,43.77902938,-115.176227,2337.98,ID,hughes63,1,1,2,Hughes 1976
93,48.01481509,-114.6327958,1257.98,MT,hughes64,1,0,1,Hughes 1976
94,47.83118994,-114.7568668,1231.67,MT,hughes65,1,1,2,Hughes 1976
95,50.14864,-119.372547,413,BC,Vernon,0,9,9,"Williams and Otvos, 2005"
96,49.279382,-120.01914,724,BC,Hedley,0,23,23,"Williams and Otvos, 2005"
97,50.424648,-121.369194,364,BC,Ashcroft,0,28,28,"Williams and Otvos, 2005"
98,50.664482,-120.581328,718,BC,Kamloops,0,125,125,"Williams and Otvos, 2005"
99,38.739185,-104.880892,2825.96,CO,COL,1,0,1,Dwyer Lab Electron Microscopy
100,48.59732,-120.44621,670.6,WA,TMEW,1,0,1,Dwyer Lab Electron Microscopy
101,47.307357,-116.980771,836.16,ID,LOV,1,0,1,Dwyer Lab Electron Microscopy
102,48.671659,-120.497581,793,WA,LST,1,0,1,Dwyer Lab Electron Microscopy
103,47.082654,-121.231302,1048.62,WA,CUB,1,0,1,Dwyer Lab Electron Microscopy
104,43.20618,-113.499284,1505.38,ID,CTR,1,0,1,Dwyer Lab Electron Microscopy
105,35.81944444,-106.2047222,2627.42,NM,NMX,0,1,1,Dwyer Lab Electron Microscopy
106,36.21361,-106.40722,2627.42,NM,BAL,0,1,1,Dwyer Lab Electron Microscopy
107,48.651242,-119.204672,784.98,WA,BAN,0,1,1,Dwyer Lab Electron Microscopy
108,35.215163,-106.407929,2627.42,NM,DRY,0,1,1,Dwyer Lab Electron Microscopy
109,44.38852,-116.21099,1671.61,ID,TAM,0,1,1,Dwyer Lab Electron Microscopy
110,48.597559,-120.513011,898.5,WA,KLP,0,1,1,Dwyer Lab Electron Microscopy
129,45.30345,-118.1017,,ID,hughes66,1,0,1,Hughes 