name,genus
Douglas-fir,Pseudotsuga
Lodgepole pine,Pinus
Ponderosa pine,Pinus
Subalpine fir,Abies
Western redcedar,Thuja
Engelmann spruce,Picea
Misc. western softwoods,Misc. gymnosperms
Whitebark pine,Pinus
Grand fir,Abies
Western hemlock,Tsuga
Western larch,Larix
Engelmann spruce / subalpine fir,Picea/Pinus
Intermountain maple woodland,Acer*
Mountain hemlock,Tsuga
Cottonwood,Populus*
California black oak,Quercus*
California mixed conifer,Misc. gymnosperms
Jeffrey pine / Coulter pine / bigcone Douglas-fir,Pinus/Pseudotsuga
Red fir,Abies
White fir,Abies
Canyon live oak / interior live oak,Quercus*
Western juniper,Juniperus
Deciduous oak woodland,Quercus*
Pinyon juniper woodland,Pinus/Juniperus
Aspen,Populus*
Juniper woodland,Juniperus
Cercocarpus woodland,Cercocarpus*
Pacific silver fir,Abies